Name  1900  1910  1920  1930  1940  1950  1960  1970  1980  1990  2000  2010  
Celia  172  172  214  265  306  360  378  502  666  558  644  705  
Celina  895  0  0  0  0  0  0  0  798  713  597  0  
Celine  0  0  0  0  0  0  0  0  0  0  737  932  
Ceola  0  939  979  0  0  0  0  0  0  0  0  0  
Chana  0  0  0  0  0  0  0  0  0  913  0  930  
Chanda  0  0  0  0  0  0  0  0  535  0  0  0  
Chandra  0  0  0  0  0  0  997  503  349  528  0  0  
Chanel  0  0  0  0  0  0  0  0  864  488  555  893  
Chantal  0  0  0  0  0  0  0  0  0  722  846  0  
Chantel  0  0  0  0  0  0  0  0  599  451  530  0  
Chantelle  0  0  0  0  0  0  0  0  994  776  0  0  
Charissa  0  0  0  0  0  0  0  0  941  0  0  0  
Charisse  0  0  0  0  0  0  0  914  949  0  0  0  
